if_skills,then_skills,support,confidence,lift
Docker + Git,PostgreSQL,0.05,0.6,7.2
PostgreSQL,Docker + Git,0.05,0.6,7.2
CI/CD + Java,Oracle,0.05,0.667,6.154
Oracle,CI/CD + Java,0.05,0.462,6.154
jQuery,JavaScript + MySQL,0.05,0.667,6.154
JavaScript + MySQL,jQuery,0.05,0.462,6.154
PostgreSQL,Agile + Git,0.05,0.6,6.0
Agile + Git,PostgreSQL,0.05,0.5,6.0
PostgreSQL,Agile + JavaScript,0.05,0.6,6.0
Agile + JavaScript,PostgreSQL,0.05,0.5,6.0
Oracle,JavaScript + SQL,0.058,0.538,5.874
JavaScript + SQL,Oracle,0.058,0.636,5.874
CSS + Git,jQuery,0.05,0.429,5.714
jQuery,CSS + Git,0.05,0.667,5.714
CSS + Git,React,0.05,0.429,5.714
React,CSS + Git,0.05,0.667,5.714
Git + PostgreSQL,Docker,0.05,0.75,5.625
Git + SQL,MySQL,0.05,0.75,5.625
Oracle,MySQL + SQL,0.05,0.462,5.538
CSS + SQL,Oracle,0.05,0.6,5.538
MySQL + SQL,Oracle,0.05,0.6,5.538
Java + SQL,Oracle,0.075,0.6,5.538
Oracle,CSS + SQL,0.05,0.462,5.538
Oracle,Java + SQL,0.075,0.692,5.538
CI/CD,Java + Oracle,0.05,0.545,5.455
Java + Oracle,CI/CD,0.05,0.5,5.455
Java + MySQL,jQuery,0.05,0.4,5.333
jQuery,Java + MySQL,0.05,0.667,5.333
MySQL,CSS + SQL,0.058,0.438,5.25
CSS + SQL,MySQL,0.058,0.7,5.25
Agile + Java,PostgreSQL,0.058,0.438,5.25
PostgreSQL,Agile + Java,0.058,0.7,5.25
Oracle,CI/CD,0.05,0.462,5.035
CI/CD,Oracle,0.05,0.545,5.035
JavaScript + React,Git,0.058,1.0,5.0
JavaScript + jQuery,MySQL,0.05,0.667,5.0
CSS + React,Git,0.05,1.0,5.0
Docker,Agile + Git,0.067,0.5,5.0
Java + React,Git,0.058,1.0,5.0
Docker + JavaScript,Git,0.058,1.0,5.0
Docker + PostgreSQL,Git,0.05,1.0,5.0
Java + jQuery,MySQL,0.05,0.667,5.0
Java + PostgreSQL,MySQL,0.05,0.667,5.0
Agile + Git,Docker,0.067,0.667,5.0
jQuery,MySQL,0.05,0.667,5.0
jQuery,Git + JavaScript,0.058,0.778,4.912
React,Git + JavaScript,0.058,0.778,4.912
CSS + Oracle,SQL,0.05,0.857,4.898
MySQL + Oracle,SQL,0.05,0.857,4.898
Agile + CSS,HTML,0.067,0.889,4.848
jQuery,CSS + JavaScript,0.067,0.889,4.848
jQuery,CSS + Java,0.067,0.889,4.848
PostgreSQL,Java + MySQL,0.05,0.6,4.8
Java + MySQL,PostgreSQL,0.05,0.4,4.8
Docker,Azure,0.058,0.438,4.773
