skill,count,pct
Java,35,18.4
JavaScript,27,14.2
CSS,25,13.2
Agile,23,12.1
Git,23,12.1
SAP/ERP,22,11.6
HTML,21,11.1
SQL,19,10.0
API,18,9.5
Networking,16,8.4
Docker,15,7.9
MySQL,15,7.9
Python,14,7.4
Linux,12,6.3
Monitoring,12,6.3
Oracle,12,6.3
Cloud Computing,12,6.3
CI/CD,11,5.8
Azure,10,5.3
PostgreSQL,9,4.7
jQuery,9,4.7
MongoDB,8,4.2
Redis,8,4.2
Support Technique,8,4.2
React,8,4.2
CRM,8,4.2
TCP/IP,7,3.7
UI/UX,7,3.7
Jira,6,3.2
Spring,6,3.2
Photoshop,6,3.2
Node.js,5,2.6
TDD,5,2.6
Angular,5,2.6
Bootstrap,5,2.6
Bash,5,2.6
AWS,4,2.1
Laravel,3,1.6
VPN,3,1.6
Django,3,1.6
Android,3,1.6
Ruby on Rails,3,1.6
REST API,3,1.6
Go,3,1.6
Swift,3,1.6
iOS,3,1.6
Big Data,3,1.6
ASSEMBLEUR,2,1.1
COBOL,2,1.1
DB2,2,1.1
JCL,2,1.1
VSAM,2,1.1
UML,2,1.1
Ruby,2,1.1
WordPress,2,1.1
Microservices,2,1.1
C#,2,1.1
Apache,2,1.1
FORTRAN,1,0.5
SAS,1,0.5
Active Directory,1,0.5
Next.js,1,0.5
Elasticsearch,1,0.5
Flask,1,0.5
OAuth,1,0.5
GraphQL,1,0.5
Data Analysis,1,0.5
R,1,0.5
Vue.js,1,0.5
MariaDB,1,0.5
PHP,1,0.5
Symfony,1,0.5
Kubernetes,1,0.5
TypeScript,1,0.5
Virtualisation,1,0.5
Cassandra,1,0.5
Kotlin,1,0.5
Backup,1,0.5
ASP.NET,1,0.5
C++,1,0.5
